Destinasi,Gambar,Detail,Jam Operasional,Biaya Masuk,Penginapan,Preferensi 1,Preferensi 2
Wisata Mangrove Tapak,https://drive.google.com/drive/folders/1_ICjDTb71u3UPt0NKtvy8g7J2csZc4lh?usp=sharing,"Hutan Mangrove Tapak terletak di Desa Tapak Kelurahan Tugurejo, Kecamatan Tugu, Kota Semarang. Wisata mangrove ini sekaligus menjadi salah satu upaya menyelamatkan pesisir yang semakin tergerus kepentingan bisnis. Prihatin dengan kondisi lingkungan desanya, penduduk setempat berupaya menyelamatkan lingkungannya. Ada 2 program utama yang mereka lakukan, yaitu pembuatan APO (alat pemecah ombak) dan penanaman mangrove di sepanjang pesisir desa dan pinggir Kali Tapak.",Setiap hari ( 08.00 - 16.00 WIB ),Gratis,"Front One Inn Semarang, Graha Padma Avonia 3 Bedroom House Semarang, RedDoorz near Ahmad Yani Airport 2, dan  OYO 1884 Sunshine Hostel.","['teman', 'keluarga']",wisata air
Taman Nasional Karimunjawa,https://drive.google.com/drive/folders/1EB5-6DyM0vWC5Z3uzXazcU2oil1qsSR8?usp=sharing,"Taman Nasional Karimunjawa adalah sebuah taman nasional yang terletak di utara pulau Jawa. Wilayah taman nasional ini berada dalam administrasi Kabupaten Jepara. Pengelolaanya terdiri dari zona inti, zona perlindungan dan zona pemanfaatan.",Setiap hari ( 06.00 - 17.00 WIB ),Rp6.000,"Karimun Jawa Hotel d'SEASON, Atlante Hostel,  DeepSky Villa, dan CasaVelion.","['teman', 'pasangan']",wisata kota
Wisata Agro Puri Muria Colo,https://drive.google.com/drive/folders/13_Khx10Dl2DrzFbVXvz7MMhKiBKPBlTR?usp=sharing,"tempat wisata di kudus yang pertama yanitu wisata colo kudus, wisata colo kudus merupakan sebuah kawasan tempat wisata alam di kudus yang berjarak sekitar 18 kilometer dari pusat kota kudus ke arah utara. tepatnya berada di kawasan pegunungan muria, Ds Colo, Kec. Dawe Kudus.",Setiap hari ( 08.00 - 17.00 WIB ),Rp5.000,"Rumah Nyaman Kudus, OYO 2855 Sartika Hotel Pati, SPOT ON 2865 Sartika Inn Pati, dan Hotel 99 Pati.",['pasangan'],pegunungan dan pedesaan
Desa Wisata Lembah Kalipancur,https://drive.google.com/drive/folders/1Jq79p3tC2iSgMQf8ozjgmyWBvg6szJCr?usp=sharing,"Desa Wisata Lembah Kalipancur merupakan sebuah tempat wisata yang cukup luas, luasnya yakni kira-kira 7 hektar. Dengan menawarkan pemandangan yang sangat asri, dikelilingi perbukitan serta danau buatan. ",Selasa - Minggu ( 08.30 - 17.00 WIB ),Rp3.000,"RedDoorz Syariah near Gerbang Toll Manyaran,  OYO 1284 Executive Residence,  OYO 3971 Griya Loka Syariah 1 Sampangan, dan RoomZ Budget.",['keluarga'],pegunungan dan pedesaan
Ketep Pass,https://drive.google.com/drive/folders/1TVG5xEESyd-oDbIv_RcfAyZJOFajpGk7?usp=sharing,"Ketep Pass adalah nama sebuah objek wisata di Ketep, Sawangan, Magelang, Jawa Tengah. Ketep Pass ini merupakan objek wisata alam yang dikembangkan dengan ciri khas wisata kegunungapian, khususnya Gunung Merapi.Pada tanggal 17 Oktober 2002, Ketep Pass diresmikan sebagai kawasan wisata jalur Solo–Selo–Borobudur (SSB) oleh Presiden ke-5 Republik Indonesia, Megawati Soekarnoputri.",Setiap hari ( 08.00 - 15.00 WIB ),Rp 10.500 - Rp 12.500,"Pesona Ketep, Sanjaya 2, OYO 908 Taman Wisata Kopeng, dan RedDoorz Syariah near Kopeng Treetop Adventure.","['sendiri', 'pasangan']",wisata kota
Masjid Agung Ungaran,https://drive.google.com/drive/folders/1zRXEs_YN2tgTW05A4iOUnQrCXTRA0uDZ?usp=sharing,"Masjid Agung Al-Mabrur di Ungaran ini merupakan Masjid Agung bagi kabupaten Semarang. Sebagai masjid agung kabupaten, masjid Agung Al-Mabrur di Ungaran ini menjadi pusat aktivitas ke-Islaman tingkat kabupaten Semarang. Masjid Agung Al-Mabrur juga menyelenggarakan pendidikan untuk anak anak melalui Taman Pendidikan Al-Qur’an. ",Setiap hari ( 24 jam ),Gratis,"C3 Hotel, Hills Joglo Villa, RedDoorz @ Ungaran, dan OYO 3335 Wisma Langen Werdhasih.","['sendiri', 'keluarga']",situs bersejarah dan religi
Nol Kilometer Yogyakarta,https://drive.google.com/drive/folders/1k1PKirPF16WetYXdL5kRhAWBZJD9Y6Ud?usp=sharing,"Titik nol kilometer di Yogyakarta merupakan kawasan yang kerap dikunjungi wisatawan lantaran lokasinya dekat dengan beberapa tempat wisata. Tidak hanya itu, titik nol kilometer juga memiliki beberapa bangunan kuno dan suasana vintage yang membuat pengunjung senang berjalan-jalan di sana. Salah satu bangunan kuno di sana adalah Kantor Pos Besar Yogyakarta atau juga dikenal sebagai Kantor Pos Titik Nol. Kantor Pos Besar Yogyakarta memiliki gaya arsitektur khas Hindia Belanda yang dapat dilihat dari lucarne atau jendela kecil di kemiringan atap. Selain berfungsi sebagai ventilasi aliran udara, jendela tersebut juga berfungsi sebagai hiasan gedung.",Setiap hari ( 24 jam ),Gratis,"Mitra Hotel Yogyakarta, Hotel Yogya Kembali, Yogya Kembali Malioboro Hotel RedPartner, dan Cabin Hotel Bhayangkara.","['teman', 'pasangan']",wisata kota
Air Terjun Kedung Pedut,https://drive.google.com/drive/folders/1gadHUg2FpX8XEtm3MB6tTjXXivlsDHdr?usp=sharing,"Air terjun Kedung Pedut merupakan salah satu keindahan nan eksotis dari kulonprogo Yogyakarta. Beberapa fasilitas pun sudah dibangun di kawasan ini seperti : kursi, jembatan dari kayu, warung-warung penjual makanan, musholla, toilet, dan ruang ganti dan masih banyak lagi. Meskipun belum lama di buka yaitu baru mulai tahun 2015, Air terjun kedung pedut ini mempunyai keunikan yang menjadi daya tarik tersendiri. Air yang jernih dan perpaduan warna tosca dan putih mampu memanjakan mata kita.",Setiap hari ( 07.00 - 17.00 WIB ),Rp5.000,"GSM Lecopark, Omah Watu Blencong, Jemakir Homestay, dan Kasmiyem Homestay.","['teman', 'pasangan']",pegunungan dan pedesaan
Kraton Yogyakarta,https://drive.google.com/drive/folders/1NtPSc8GV0zquW-FbHI1E2w78xQ9eP0Wh?usp=sharing,"Ngayogyakarta Hadiningrat atau Keraton Yogyakarta merupakan istana resmi Kesultanan Ngayogyakarta Hadiningrat yang kini berlokasi di Kota Yogyakarta. Arsitek kepala istana ini adalah Sultan Hamengkubuwana I, pendiri Kesultanan Ngayogyakarta Hadiningrat. Dahulu bagian utama istana, dari utara keselatan, dimulai dari Gapura Gladhag di utara sampai di Plengkung[8] Nirboyo di selatan. Kini, bagian-bagian utama keraton Yogyakarta dari utara ke selatan adalah: Gapura Gladag-Pangurakan, Kompleks Alun-alun Ler dan Masjid Gedhe, Kompleks Pagelaran, Kompleks Siti Hinggil Ler, Kompleks Kamandhungan Ler, Kompleks Sri Manganti, Kompleks Kedhaton, Kompleks Kamagangan, Kompleks Kamandhungan Kidul, Kompleks Siti Hinggil Kidul, serta Alun-alun Kidul dan Plengkung Nirbaya yang biasa disebut Plengkung Gadhing.",Setiap hari ( 08.00 - 14.00 WIB ),Rp 5.000 - Rp 7.500,"Pesindenan 21, nDalem Ngabean Bungalow Yogyakarta, Homy home at Alun Alun Selatan close to Kraton, dan Istana Ibu alun-alun kidul.",['keluarga'],situs bersejarah dan religi
Pantai Indrayanti,https://drive.google.com/drive/folders/1Q6cDfHBGhShpMWoWMG8CtkNCMqlrlwkm?usp=sharing,"Pantai Indrayanti merupakan pantai cantik yang berada di Gunungkidul, Yogyakarta. Tak jauh dari pantai ini, ada deretan pantai lain yang tak kalah cantiknya seperti Pantai Omandeng, Sundak, Ngadong, dan Sadranan yang berlokasi tepat di sebelah timur. Pantai Indrayanti menawarkan pemandangan khas laut pantai selatan yang luas dengan air yang jernih. Pasir pantainya pun putih bersih, cocok buat main pasir. Pemandangan terbaik Pantai Indrayanti tak hanya saat sunset saja, tapi pada pagi hari pantai ini malah menawarkan suasana yang sejuk. Bukit-bukit di belakang garis pantai menjadi daya tarik tersendiri dengan deburan ombak.",Setiap hari ( 24 jam ),Rp10.000,"Villa kopiori, Radika Paradise Villa & Cottage, Limasan Mbah Darmo, dan Pandan Wangi Villa & Resto.","['teman', 'keluarga', 'pasangan']",wisata air
Candi Ijo,https://drive.google.com/drive/folders/1yddiMQxHazL5yGmqOddrOVvRR7prhLCE?usp=sharing,"Candi Ijo adalah sebuah kompleks percandian bercorak Hindu, berada 4 kilometer arah tenggara dari Candi Ratu Boko atau kira-kira 18 kilometer di sebelah timur kota Yogyakarta. Kompleks percandian Ijo dibangun pada punggungan bukit yang disebut Gumuk/Bukit Ijo. Secara keseluruhan, kompleks candi merupakan teras-teras berundak, dengan bagian terbawah di sisi barat dan bagian tertinggi berada pada sisi timur, mengikuti kontur bukit.  Fasilitas yang ada disini antara lain toilet, area parkir, pos penjagaan, gazebo, dan spot foto yang menarik.",Setiap hari ( 05.00 - 18.00 WIB ),Rp5.000,"Amaranta Prambanan Hotel, Abhayagiri - SWH Resort, OYO 90831 Hotel Gardenia Prambanan , dan RedDoorz near Prambanan Temple.","['teman', 'keluarga']",situs bersejarah dan religi
Hutan Pinus Pengger,https://drive.google.com/drive/folders/1YLMjs1o2JFGZzyT2q5FIO75whRvgEpfI?usp=sharing,"Hutan Pinus Pengger Sendangsari merupakan kawasan hutan pinus yang masih alami dan asri. Area perbukitan yang menjadi salah satu destinasi wisata malam dan banyak menarik minat kalangan muda-mudi. Fasilitas yang ada di tempat ini antara lain mushola, area parkir, toilet, gazebo, warung hingga arena bermain lainnya.",Setiap hari ( 06.30 - 23.00 WIB ),Rp2.500,"Imron Homestay, Nissa Homestay, Rika Homestay, dan Penginapan Rudi.","['teman', 'keluarga']",pegunungan dan pedesaan
Candi Prambanan,https://drive.google.com/drive/folders/1wr_uhAOYlI6GqcrUXkHBsY7mO7AWJ281?usp=sharing,"Candi Prambanan adalah candi Hindu terbesar di Indonesia sekaligus salah satu candi yang terindah di Asia Tenggara. Menurut prasasti Siwagrha, candi ini mulai dibangun pada masa pemerintahan Rakai Pikatan (pertengahan abad ke-9) dari Kerajaan Mataram Kuno. Diperkirakan ada 240 candi besar dan kecil di kompleks Candi Prambanan. Namun, hanya 18 candi yang berhasil dipugar, sisanya adalah tumpukan batu yang berserakan. Fasilitas Candi Prambanan sudah sangat lengkap bagi bagi para wisatawan yang mengunjungi Candi ini, diantaranya terdapat mushola, papan informasi, toko souvenir, restoran, gazebo, tempat parkir, toilet, guide, golf cart, dan spot-spot foto.",Setiap hari ( 24 jam ),Rp 30.000 - Rp 40.000,"Algira Homestay Prambanan, Homestay Damandiri Prambanan Syariah, SPOT ON 2754 Miyagi Guesthouse, dan Villa Prambanan with Private Pool by Simply Homy.","['teman', 'keluarga']",situs bersejarah dan religi
Pantai Patihan,https://drive.google.com/drive/folders/1Du91Q9C4OGlCoULgiwlaAvYyF0R-r8Ss?usp=sharing,"Patihan adalah salah satu dari jajaran perkampungan di sisi selatan Jawa, yang secara administratif termasuk dalam wilayah Kabupaten Bantul. Tepat ditengah-tengah diantara dua sungai besar yakni Opak dan Progo, yang ratusan tahun membawa material vulkanik Gunung Merapi ke Samudra Indonesia, kemudian terhempas ke daratan menjadikan lebih dari separuh luasan Patihan adalah pasir yang membentang. Fasilitas yang disedikan antara lain areal parkir, balai pertemuan, Jungle Tracking, kamar mandi umum, kios souvenir, kuliner, musholla, outbound, selfie area, spot foto, tempat makan, dan wifi area. ",Setiap hari ( 24 jam ),Rp10.000," Puri Brata, Losmen Alden Parangtritis, Losmen Tut Wuri 2, dan Hotel Gandung.","['teman', 'keluarga', 'pasangan']",wisata air
Gembira Loka Zoo,https://drive.google.com/drive/folders/1yHie7200Tf7xCbH5NOBdPglu08VXOZ3f?usp=sharing,"Gembira Loka merupakan tempat yang tepat untuk berwisata bersama keluarga. Tak hanya bisa mencoba berbagai wahana permainan dan menyaksikan tingkah aneka satwa. Satwa yang ada antara lain gajah Sumatra, kuda nil, rusa Jawa, unta, simpanse, orangutan, beruang madu, dan Wallaby. Fasilitas yang disediakan antara lain Sentral Servis, stroller bayi, akses wifi internet, Food Court, kursi roda, gelang anak, mushola dan masjid.","Senin - Kamis ( 09.00 - 15.00 WIB )
Sabtu - Minggu ( 08.30 - 16.00 WIB )",Rp 60.000 - Rp 75.000,"Rama Shinta Homestay RedPartner, SPOT ON 2107 Ijo Pupus Syariah Residence, OYO 572 Omah Gedongkuning Syariah Homestay, dan RedDoorz Syariah near Gembira Loka Zoo.","['sendiri', 'pasangan']",wisata kota
The Lost World Castle,https://drive.google.com/drive/folders/11iv9vkXjyT-TQ25jGqeM4HHrzOSaxGkh?usp=sharing,"The Lost World Castle merupakan salah satu objek wisata di kawasan lereng Gunung Merapi yang terletak di Daerah Istimewa Yogyakarta. Objek wisata ini dibangun menyerupai Benteng Takeshi dan dibangun di atas lahan 1,3 hektare pada tahun 2016. Fasilitas yang disediakan antara lain area parkir, kamar mandi, mushola, dan penginapan.",Setiap hari ( 07.00 - 18.00 WIB ),Rp30.000,"Tempuran Hills Family Homestay, Penginapan Sedyo Rahayu, Penginapan Mentorogo, dan Hotel SiCantik.","['sendiri', 'pasangan']",pegunungan dan pedesaan
Puncak Segoro,https://drive.google.com/drive/folders/1mqIqS0v9ariUrKw9gRxLewklCPAcPiZX?usp=sharing,"Puncak Segoro merupakan salah satu tempat wisata Jogja yang menyediakan villa, Spot foto dan juga resto yang tentunya mempunyai pemandangan alam menakjubkan. Wisata Puncak Segoro Jogja ini juga mempunyai berbagai fasilitas umum yang cukup lengkap, contohnya saja seperti terdapat area parkir yang cukup luas, toilet, dan tidak lupa juga terdapat mushola.",Setiap hari ( 08.00 - 17.00 WIB ),Rp5.000,"Greenhouse at Pantai Kukup, Pandan Wangi Villa, Hotel Bintang Baron, dan Homestay Baronsari. ","['teman', 'pasangan']",pegunungan dan pedesaan
Bukit Wisata Pulepayung,https://drive.google.com/drive/folders/1XlzJpEpAQRXh80z8EodmfcK1LRwsL5E3?usp=sharing,"Pule Payung Kulon Progo Yogyakarta merupakan wisata alam dengan spot foto instagramable. Tempat wisata yang satu ini sangat direkomendasi untuk anak muda yang ingin mendapatkan foto-foto unik karena memiliki banyak spot foto menarik. Fasilitas yang disediakan seperti paket tour yang terdiri dari tiga pilihan, yaitu gold, silver, bronze, dan paket empat. Fasilitas lainnya antara lain musala, gazebo, tempat bersantai, pendopo amerta. Selain itu, terdapat juga toko oleh-oleh yang menyediakan item khas Yogyakarta.",Setiap hari ( 08.00 - 16.00 WIB ),Rp 5.000 - Rp 10.000,"Munggang Homestay, Pondok Wisata Kalibiru, Serut 1 Homestay, dan Hellonetto Homestay.","['teman', 'keluarga']",pegunungan dan pedesaan
Pantai Glagah,https://drive.google.com/drive/folders/1edd5ZWJSbP4FdMJsbi1pEqslC24VnchM?usp=sharing,"Pantai Glagah merupakan pantai indah dengan hamparan pasir hitam yang luas sekaligus berlaguna. Di pantai ini terdapat kawasan gumuk pasir dengan rumput grinting dan laguna Glagah yang sangat luas terhampar untuk aktivitas perahu wisata, olah raga kano, kayak, berenang atau memancing. Selain itu juga ada agrowisata buah naga, melon, semangka dan cabai yang dikelola oleh masyarakat. Kawasan Glagah secara rutin juga dipakai untuk event motocross, festival layang-layang dan pesta kembang api tahun baru. Pantai Glagah menjadi Muara Sungai Serang yang sekaligus pintu masuk ke Pelabuhan Ikan Tanjung Adi Karta. Sisi barat Sungai Serang menjadi Camping Ground dan Dermaga Wisata.",Setiap hari ( 24 jam ),Rp6.000,"Kampung Wisata Taman Sari, Lumintu Guest House Syariah, OYO 90189 Roemah Kayoe, dan OYO 2314 Hapsari Homestay Syariah.","['teman', 'keluarga', 'pasangan']",wisata air
Desa Wisata Sungai Code Jogja Kota,https://drive.google.com/drive/folders/1Hv9_WNcMhRERjamsVVsooJPYDjgTHVRI?usp=sharing,"Desa Wisata Sungai Code Jogja merupakan sebuah Kampung di Bantaran Sungai Code, di bawah Jembatan Sarjito, Yogyakarta. Keunikan Kampung Code diakui para arsitek dunia. Pada tahun 1992, Kampung Code diganjar penghargaan Aga Khan Award for Architecture, sebuah penghargaan internasional di bidang arsitektur. Struktur tiang unik berbentuk huruf A di setiap rumah Kampung Code, dan model gotong royong warga dalam menuntaskan proyek ini membuat para arsitek dunia jatuh cinta. Kampung Code adalah bangunan yang mewakili budaya gotong royong dan harmonis masyarakat Yogyakarta. ",Setiap hari ( 24 jam ),Gratis,"OYO 2047 Opak Village Bed and Breakfast, Pak Dhe Homestay, Yabbiekayu Eco-Bungalows, dan Tembi Rumah Budaya.","['sendiri', 'keluarga']",pegunungan dan pedesaan
Kampung Wisata Taman Sari,https://drive.google.com/drive/folders/1LSCvwRnhb5TvdUcrpjn6nctZ_HpWTg59?usp=sharing,Kampung wisata Tamansari merupakan sebuah kampung yang sangat strategis karena lokasinya berada di kawasan Obyek Wisata Tamansari ( Water Castle ) dan berada dalam kawasan besar Kraton Kasultanan Yogyakarta. Kampung ini memiliki fungsi sebagai penyangga kawasan Obyek Wisata Tamansari dan Kraton Yogyakarta. Kampung Tamansari sesuai data dan informasi yang bersumber baik dari pihak kraton maupun balai pelestarian bangunan dan cagar budaya konon merupakan danau yang cukup luas (segara anakan) yang dilengkapi dengan parit (sungai buatan) dari Tamansari menuju ke bangunan pusat kraton melalui segaran.,Setiap hari ( 09.00 - 15.00 WIB ),Rp5.000,"The Omah Alun Alun Kidul by Joe, Full House at The Omah Alun Alun Kidul, Hastostay Kraton, dan E Kamar. ","['sendiri', 'pasangan']",pegunungan dan pedesaan
Jurang Tembelan Kanigoro,https://drive.google.com/drive/folders/1gDVTOAVwMh7m-q9u8OUo3qffJL7s6zdJ?usp=sharing,"Jurang Tembelan Kanigoro merupakan sebuah destinasi wisata yang menyuguhkan pemandangan alam. Daerah ini cukup terkenal dengan spot fotonya yang terletak di tepi jurang. Beberapa spot foto yang dimaksud antara lain Hutan Pinus Mangunan, Songgo Batu Langit, Gardu Pandang Pinus Asri, hingga Tebing Watu Mabur.",Setiap hari ( 24 jam ),Rp2.500,"Dempak Indah Camp and Resort, Homestay Arya Mangunan, Homestay Family96, dan Homestay Hanum.",['teman'],pegunungan dan pedesaan
De Mata Museum Jogja,https://drive.google.com/drive/folders/1DXcFRvtdxEKroM79V87u3SF9C0OuFDVo?usp=sharing,"De Mata Museum Jogja merupakan sebuah destinasi wisata yang berupa museum. Museum ini berada di XT Square atau juga bekas terminal ini, ada di Jalan Veteran Nomor 150 – 151, Umbulharjo. Bisa dibilang tempat ini adalah pelopor berdirinya museum 3 Dimensi di Indonesia. Ada sekitar 200 gambar 3 Dimensi yang bisa dinikmati dan juga dipotret pengunjung. Pada akhir tahun 2014, muncul museum De Arca berisi patung 5 dimensi dari tokoh-tokoh yang terkenal.",Senin - Jum'at ( 10.00 - 15.00 WIB ),Rp 30.000 - Rp 50.000,"RedDoorz near XT Square 2, Hotel Safara, Hotel Surya Citra Jogja by RedDoorz, dan Rosalia Indah Hotel.","['sendiri', 'pasangan']",museum
Watu Lumbung,https://drive.google.com/drive/folders/120oEnT_BLnAp0teegGLe4ewOVPSZqbaF?usp=sharing,"Kampung Edukasi Watu Lumbung bisa jadi pilihan untuk liburan. Berlokasi di Bukit Parangtritis, Kretek, Bantul, Yogyakarta, Watu Lumbung menawarkan keindahan pemandangan khas pinggiran Yogyakarta sekaligus wisata edukasi yang tak terlupakan. Kampung Edukasi Watu Lumbung didirikan tahun 2003 oleh Muhammad Boy Rifai yang sejak awal ingin memberdayakan dan membantu perekonomian masyarakat sekitar melalu sector pariwisata. Kawasan ini memiliki beberapa area seperti area outbond, perpustakaan, warung santai, taman bermain anak, flying fox, dan sebagainya. Kampung Edukasi Watu Lumbung didirikan di tengah area perkebunan pohon jati. Konsep alam juga melekat di kontruksi bangunan di kawasan ini. Penggunaan bambu digunakan untuk membuat gubuk santai diantara pohon-pohon jati. Beberapa bangunan berupa rumah pohon dibuat hingga tiga lantai dengan batang pohon jati yang masih hidup sebagai tiang penopangnya.",Setiap hari ( 24 jam ),Rp5.000,"RedDoorz near Stadion Kridosono Blora, OYO 90811 Myhome, Jaya Sakti Hotel, dan My Room Cepu Blora RedPartner.","['keluarga', 'pasangan']",situs bersejarah dan religi
Sindu Kusuma Edupark (SKE),https://drive.google.com/drive/folders/12XjdbkZgSCGYiELEq1FRBXY2KpKRjsG2?usp=sharing,"Sindu Kusuma Edupark (SKE) merupakan sebuah destinasi rekreasi yang terletak di Jogjakarta. Tempat ini menyediakan bermacam-macam wahana, baik wahana bermain maupun wahana belajar. Wahana yang paling terkenal dari SKE adalah bianglalanya, yang merupakan sebuah wahana bermain sekaligus ikon SKE sendiri. Selain itu terdapat juga wahana dan edukasi lain seperti terapi ikan, kora-kora, kopi dan roti puter, montor tumbur, disaster room, miniatur candi borobudur, dan kursi mabur.","Selasa - Jum'at ( 12.00 - 20.00 WIB )
Sabtu - Minggu ( 08.00 - 20.00 WIB )",Rp20.000,"Rifka Annisa Guesthouse Syariah, Delavega GH Near Tugu JOGJA (MUHRIM ONLY), RedDoorz Syariah near Sindu Kusuma Edupark, dan OYO 1431 Travel-inn.",['keluarga'],museum
Pasar Beringharjo,https://drive.google.com/drive/folders/1qVk55RA3_jK8RYlVNGukVMVJI52PeohT?usp=sharing,"Pasar Beringharjo adalah pasar tertua dengan nilai historis dan filosofis yang tidak dapat dipisahkan dengan Keraton Yogyakarta. Ada banyak jenis barang yang dapat dibeli di Pasar Beringharjo, mulai dari batik, jajanan pasar, uang kuno, pakaian anak dan dewasa, makanan cepat saji, bahan dasar jamu tradisional, sembako hingga barang antik.",Setiap hari ( 08.30 - 21.00 WIB ),Gratis," Guesthouse Alfita by RedDoorz, RedDoorz Plus @ Affandi Gejayan, Oasis Studio Hotel Dua, dan Oasis Studio Hotel Satu.",['keluarga'],wisata kota
Bukit Kapur Arosbaya,https://drive.google.com/drive/folders/1130rI7sP7-3qWXbVhAxC67jH69x7g4IG?usp=sharing,"Jika tebing kapur biasanya berwarna putih, bukit kapur yang satu ini, Arosbaya justru berwarna bata kemerah-merahan. Pemandangan Bukit Kapur Arosbaya nampak indah dengan relief tak beraturan. Gradasi warna putih kapur dan kecokelatan membuat tebing-tebingnya nampak memukau.Bukit Arosbaya dulunya merupakan tempat penambangan kapur tulis. Namun kini, sudah tidak beroperasi lagi. Tanpa disadari bekas penambangan ini membentuk relief yang menawan. Membuat bekas tambang kapur ini menjadi lokasi wisata.",Setiap hari ( 09.00 - 17.00 WIB ),Rp10.000,"Shamey Homestay, OYO 3886 Potreh Mastekah 1, OYO 3887 Potreh Mastekah 2, dan SPOT ON 2591 Griya Demangan Syariah.","['sendiri', 'keluarga']",museum
Museum Sepuluh Nopember Kota Surabaya,https://drive.google.com/drive/folders/1qTF0h9pXeZMAh0EgFazfZrd_oG5FuZbv?usp=sharing,"Museum Sepuluh Nopember merupakan sebuah peninggalan sejarah dimana ini dibangn untuk memperingati peristiwa pertempuran 10 Nopember Surabaya. Monumen ini berada di tengah kota surabaya dan menjadi ikon kota surabaya. Fasilitas yang tersedia, antara lain : ruang diorama elektronik, ruang auditorium, ruang perpustakaan, ruang diorama, ruang Kidzone dan Laktasi , musholla, parkir area, public space (lapangan), dan AC.","Selasa - Jum'at ( 08.00 - 14.30 WIB )
Sabtu -  Minggu ( 08.00 - 13.30 WIB )",Rp5.000,"RedDoorz near Pasar Turi Station, Intan Hotel By RedDoorz, OYO 90177 Hotel Pahlawan, dan V3 Hotel. ","['sendiri', 'pasangan']",museum
