Destinasi,Detail,Preferensi 2
Camp Leakey,"Camp Leakey merupakan pusat rehabilitasi orang utan yang berdiri di atas lahan seluas 45.907 Ha. Saat ini pihak balai TNTP bekerja sama dengan Orangutan Foundation Internasional di areal Camp Leakey mempunyai tugas merehabilitasi dan memantau perilaku orangutan hasil sitaan warga untuk dapat kembali diliarkan. Para orangutan sitaan ini diharapkan dapat kembali hidup liar di habitat asli mereka. Untuk mencukupi pakan orangutan, Camp Leakey memiliki program pemberian pakan tambahan yang biasa di sebut feeding. Kegiatan feeding ternyata menjadi daya tarik wisatawan tersendiri, para wisatawan dapat mengabadikan tingkah yang lucu dari orangutan di atas platform feeding.",pegunungan dan pedesaan
Taman Kota Sampit,"Taman Kota Sampit adalah ruang rekreasi terbuka di Sampit, Ibukota Kabupaten Kotawaringin Timur. Terletak di jantung kota, di sini merupakan pusat kegiatan rekreasi dan hiburan bagi masyarakat sekitar. Namun wisatawan dari luar kota maupun mancanegara juga kerap menyambangi taman kota seluas setidaknya 2,5 Ha ini. Hal itu karena keberadaan bangunan ikonik berupa tugu setinggi kurang lebih 5 meter. Tugu tersebut memiliki ornament khas suku Dayak lengkap dengan perisai dan motif khas Dayak.",wisata kota
Pondok Tanggui,"Pondok Tanggui merupakan tempat feeding camp kedua setelah Tanjung Harapan yang juga merupakan tempat rehabilitasi bagi orangutan. Specialnya di Pondok Tangui ini tidak hanya orangutan saja yang bisa kita temui, melainkan juga berbagai macam tumbuhan langka seperti salah satunya adalah kantong semar.",wisata kota
Sungai Mentaya,"Sungai Mentaya adalah sebuah sungai yang terletak di Kota Sampit Provinsi Kalimantan Tengah, Indonesia. Muara sungai ini terletak di Teluk Sampit di Laut Jawa tepat pada titik koordinat 2°28′0″LU,113°2′32″BT. Dalam Bahasa Dayak Ot Danum, Sungai Mentaya itu disebut ""batang danum kupang bulan"".",wisata air
Borneo Orangutan Survival Foundation (BOSF) Nyaru Menteng,Borneo Orangutan Survival Foundation adalah organisasi non-pemerintah nirlaba Indonesia yang didirikan oleh Dr. Willie Smits pada tahun 1991 dan didedikasikan untuk konservasi orangutan Kalimantan yang terancam punah dan habitatnya melalui keterlibatan masyarakat setempat.,pegunungan dan pedesaan
Taman Pasuk Kameluh,"Taman Pasuk Kameluh atau Taman Pasuk Kameloh merupakan sebuah taman yang berada tak jauh dari Sungai Kahayan. Taman tersebut merupakan salah satu tempat favorit warga Palangkaraya menghabiskan waktu bersama. Layaknya seperti sebuah taman pada umumnya, Taman Pasuk Kameluh selalu ramai dikunjungi ketika sore menjelang, banyak keluarga yang mengantar anak-anak untuk bermain di sekitar taman.",wisata kota
Taman Wisata Alam Bukit Tangkiling,"Taman Wisata Alam Bukit Tangkiling merupakan salah satu objek wisata alam yang berada di Kota Palangka Raya. Taman Wisata Alam Bukit Tangkiling mencakup seluruh wilayah perbukitan diantaranya Bukit Tangkiling, Bukit Baranahu, Bukit Buhis, Bukit Liau, Bukit Kitabala, Bukit Bulam, Bukit Tisin, Bukit Kalalawit, dan Bukit Tunggal.",pegunungan dan pedesaan
Air Terjun Batu Mahasur,"Air Terjun Batu Mahasur adalah sebuah air terjun yang berada di Desa Kuala Kurun, Kecamatan Kurun, Kabupaten Gunung Mas, Provinsi Kalimantan Tengah, Indonesia. Lokasinya yang sangat dekat dengan ibu kota kabupaten yakni hanya 1,5 Kilometer membuat Air Terjun Batu Mahasur menjadi wisata andalan Kabupaten Gunung Mas.",wisata air
Taman Nasional Kayan - Mentarang,"Taman Nasional Kayan Mentarang, ditetapkan pertama kali pada tahun 1980 sebagai Cagar Alam oleh Menteri Pertanian Indonesia. Kemudian pada tahun 1996, atas desakan masyarakat lokal dan rekomendasi dari WWF, kawasan ini diubah statusnya menjadi Taman Nasional agar kepentingan masyarakat lokal dapat diakomodasikan.",pegunungan dan pedesaan
Sungai Sekonyer,"Sungai Sekonyer adalah sungai yang mengalir di bagian selatan pulau Kalimantan, provinsi Kalimantan Tengah, Indonesia, sekitar 700 km di timur laut ibu kota Jakarta.",wisata air
Pantai Kubu,"Pantai Kubu terletak di Kecamatan Kubu, Kabupaten Kotawaringin Barat, Provinsi Kalimantan tengah yang berdekatan dengan Pantai Tanjung Keluang. Pantai ini merupakan daerah nelayan yang menghadap ke Laut Jawa. ",wisata air
Museum Balanga,"Museum Balanga adalah museum yang berlokasi di Kota Palangka Raya, Provinsi Kalimantan Tengah. Museum ini digunakan sebagai media pembelajaran tentang budaya dan sumber daya alam di lingkungan hidup Suku Dayak. Gedung museum merupakan bekas Gedung Monumen Dewan Nasional yang bernama Balanga.",situs bersejarah dan religi
Taman Labirin Pelaihari,"Labirin Palaihari adalah salah satu tempat wisata buatan berupa taman yang terletak di Tambang Ulang, Tanah Laut, Kalimantan Selatan. Daya tarik utama tempat wisata ini adalah sensasi memasuki lorong lorong labirin dari tumbuhan dengan tujuan mencari jalan keluar.",wisata kota
Jembatan Gantung Nateh,"Jembatan Gantung Sungai Nateh tepatnya berada di Tim., Nateh, Batang Alai Tim., Kabupaten Hulu Sungai Tengah, Kalimantan Selatan 71382. Sebuah Desa Nateh masuk dalam Kecamatan Batang Alai Timur dan termasuk dalam Kabupaten Hulu Sungai Tengah. Sebenarnya jembatan ini sudah ada sejak lama yakni dibangun tepat pada tahun 2000, namun belakangan ini jembatan ini menjadi viral di media sosial karena banyak yang mengupload foto mereka sedang berada di Jembatan Gantung Sungai Nateh.",wisata kota
Pasar Terapung Lok Baintan,"Pasar Terapung Lok Baintan atau Pasar Terapung Sungai Martapura adalah sebuah pasar terapung tradisional yang berlokasi di desa Sungai Pinang, kecamatan Sungai Tabuk, Banjar. Secara umum, Pasar Terapung Lok Baintan tak beda dengan Pasar Terapung di muara Sungai Kuin/Sungai Barito.",wisata kota
Goa Batu Hapu,"Gua Batu Hapu adalah gua karst yang menjadi objek wisata alam yang terletak di dekat pasar Binuang, tepatnya di Desa Batu Hapu, Kecamatan Hatungun, Tapin, Kalimantan Selatan. Gua ini memilki mulut gua yang besar dan dua bibir gua yang terhubung dengan tangga beton.",pegunungan dan pedesaan
Goa Liang Tapah,"Goa Liang Tapah lokasinya masih satu kabupaten dengan Goa Liang Kantin, yaitu di Kabupaten Tabalong, Provinsi Kalimantan Selatan. Beda tempat, tentu saja beda panorama, serta sensasi wisata yang ditawarkan. Di Goa Liang Tapah terdapat sebuah telaga, serta pemandian, yang berselimutkan cerita misteri, atau legenda.",wisata air
Hutan Kota Pinus Mentaos I,"Hutan Pinus Mentaos yang terletak di Jalan Pangeran Suriansyah Ujung, Kelurahan Komet,  Kota Banjarbaru. Sebelumnya, tempat itu sebagai area percontohan budidaya pohon pinus. Lantaran kerap dijadikan jujugan warga melepas penat, pemerintah daerah menyulapnya sebagai destinasi wisata hutan kota.",pegunungan dan pedesaan
Rumah Jomblo,"Rumah Jomblo merupakan rumah unik yang menarik di Kota Banjar Baru.  Sesuai dengan namanya, rumah kayu ini berada diatas gundukan tanah merah sendirian. Paduan tanah merah dan posisi bangunan menjadi sisi menarik dari tempat wisata ini.",situs bersejarah dan religi
Taman Hutan Raya Sultan Adam,Taman Hutan Raya Sultan Adam adalah Tahura yang terdapat di Kalimantan Selatan. Merupakan Unit Pelaksana Teknis (UPT) dari Dinas Kehutanan Provinsi Kalimantan Selatan. Nama hutan ini diambil dari Sultan Adam yang memerintah Kesultanan Banjar yang berkuasa 3 Juni 1825 - 1 November 1857,pegunungan dan pedesaan
Pulau Datu,"Pulau Datu (Pulau Datu Pamulutan) adalah pulau kecil yang terdapat di dekat Pantai Batakan, desa Tanjung Dewa, kecamatan Panyipatan, Tanah Laut, Kalsel. Dinamakan pulau Datu karena di pulau tersebut terdapat makam seorang datu (sunan/penyebar agama Islam) yang dikenal dengan sebutan Datu Pamulutan, yang dahulu punya kegemaran menangkap burung dengan pulut (getah).",wisata air
Kepulauan Derawan,"Kepulauan Derawan berada di provinsi Kalimantan Timur di Indonesia. Mereka terdiri dari 31 pulau, yang paling terkenal di antaranya adalah pulau Derawan, Kakaban, Maratua, dan Sangalaki. Ada juga banyak terumbu karang dan pulau-pulau kecil yang terendam. Mereka terletak di Laut Sulawesi, di landas pantai Kalimantan Timur. Kepulauan tersebut merupakan bagian dari Kabupaten Berau.",wisata air
Masjid Islamic Center Samarinda (MICS),"Masjid Islamic Center Samarinda adalah masjid yang terletak di kelurahan Teluk Lerong Ulu, Samarinda Ilir, Kota Samarinda, Kalimantan Timur, Indonesia. Masjid ini merupakan masjid terbesar ketiga di Indonesia setelah Masjid Agung Surabaya di Surabaya.",situs bersejarah dan religi
Museum Mulawarman,"Museum Mulawarman adalah sebuah museum di kota Tenggarong, Provinsi Kalimantan Timur, Indonesia. Museum ini merupakan bekas istana dari Kesultanan Kutai Kartanegara yang dibangun pada tahun 1936 dan diresmikan sebagai Museum Kutai pada tanggal 25 November 1971 oleh Gubernur Abdoel Wahab Sjahranie, lalu diserahterimakan kepada Departemen Pendidikan dan Kebudayaan tanggal 18 Februari 1976 dan berganti nama menjadi Museum Negeri Provinsi Kalimantan Timur ""Mulawarman"".",situs bersejarah dan religi
Bukit Bangkirai,"Bukit Bangkirai adalah kawasan wisata alam yang dikelola PT Inhutani I Unit I Balikpapan. Kawasan wisata ini terletak di Kecamatan Samboja, Kabupaten Kutai Kartanegara, Kalimantan Timur. Bukit Bangkirai dapat ditempuh melalui perjalanan darat selama 1,5 jam dari Kota Balikpapan.",pegunungan dan pedesaan
Jembatan Repo Repo,"Jembatan Repo-Repo adalah jembatan khusus pejalan kaki yang membentang di atas Sungai Mahakam dan menghubungkan daratan kota Tenggarong dengan Pulau Kumala, Provinsi Kalimantan Timur. Jembatan ini resmi dibuka oleh Bupati Kutai Kartanegara Rita Widyasari pada tanggal 22 Maret 2016.",wisata kota
Ladang Budaya Tenggarong,"Ladaya atau Ladang Budaya merupakan kawasan wisata yang dikelola oleh Yayasan Lanjong. Tempat ini memiliki fungsi utama sebagai kawasan outbond. Namun, berbeda dengan tempat outbound lain yang biasanya jauh dari tempat keramaian, Ladaya terletak tidak jauh dengan pusat kota. Selain itu, di tempat ini juga memiliki suasana yang masih asri, dimana banyak pohon yang tumbuh di sekitar kawasan objek wisata ini.",situs bersejarah dan religi
Taman Bekapai,"Tempat berkumpul yang populer, taman yang dipenuhi pepohonan ini memiliki air mancur baja besar yang menyala di malam hari.",wisata kota
Rumah Ulin Arya,"Destinasi Wisata keluarga samarinda yang lengkap Rumah Ulin Arya, merupakan tempat wisata di Kota Samarinda yang  INSTAGRAMABLE,  terletak  dengan luas area ± 3 Hektare. RUA menawarkan konsep sangat menarik bahkan bisa di sebut sebagai salah satu pelopor wahana yg menawarkan 2 wahana /Fasilitas dalam 1 tempat.",situs bersejarah dan religi
Mangrove Centre Graha Indah,"Hutan Mangrove memiliki peran penting dalam menjaga keseimbangan lingkungan di sekitar pesisir pantai. Balikpapan memiliki Pusat Mangrove Graha Indah, tempat terbaik belajar mengenai fungsi dan peranan Hutan Mangrove.",wisata air
Samboja Lestari,"Samboja Lestari adalah pusat penyelamatan dan rehabilitasi orangutan Kalimantan, proyek restorasi hutan hujan tropis, suaka beruang madu, dan penginapan ramah lingkungan yang terletak di kota Samboja di Kalimantan Timur, Indonesia, yang dimiliki dan dioperasikan oleh Borneo Orangutan Survival Foundation. Menurut pendirinya, Willie Smits, Samboja Lestari menggunakan prinsip People, Planet, Profit, berusaha memberikan pendapatan bagi masyarakat lokal dengan menggunakan konservasi. Terletak sekitar 38 kilometer dari kota terbesar di Kalimantan Timur, Balikpapan. Proyek ini mencakup sekitar 1.800 hektar lahan yang sebelumnya terdeforestasi. Pada tahun 2001, Yayasan BOS mulai membeli tanah di dekat Samboja yang, seperti banyak lahan gundul di Kalimantan, ditutupi rumput alang-alang. Nama Samboja Lestari secara kasar diterjemahkan sebagai 'Samboja Selamanya'.",pegunungan dan pedesaan
Museum Sedurengas,"Museum Sadurengas adalah sebuah museum yang terletak di Paser Belengkong, Kabupaten Paser, Kalimantan Timur, Indonesia. Museum ini memamerkan artefak Kesultanan Paser Kalimantan Timur. ",situs bersejarah dan religi
Dahor Pusaka,"Dahor Heritage adalah rumah panggung yang menjadi salah satu cagar budaya yang terletak di jalan Letjen Suprapto kota Balikpapan. Rumah ini menjadi bagian dari kompleks perumahan yang dikelola langsung oleh Pertamina karena menjadi saksi bisu cerita para pekerja kilang minyak pada masa kolonial Belanda. Dimana, kemudian rumah antik ini dijadikan sebagai museum ataupun perpustakaan. Menjadi salah satu wisata edukasi yang menarik, rumah ini ramai dikunjungi wisatawan.",situs bersejarah dan religi
Kedaton Kutai Kartanegara,"Kedaton Kutai Kartanegara adalah istana milik Sultan Kutai Kartanegara yang terletak di pusat kota Tenggarong, Kalimantan Timur, Indonesia. Istana ini selesai dibangun oleh Pemerintah Kabupaten Kutai Kartanegara pada tahun 2002 setelah dihidupkannya kembali Kesultanan Kutai Kartanegara ing Martadipura.",situs bersejarah dan religi
Museum Batiwakkal,"Museum Batiwakkal adalah sebuah museum yang berada di Kabupaten Berau, Provinsi Kalimantan Timur. Museum yang terletak di kecamatan Gunung Tabur[1] ini dibangun pada tahun 1990[2] dan dibuka untuk umum pada tahun 1992.[3] Museum ini juga merupakan renovasi ulang dari bentuk asli Keraton Gunung Tabur.",situs bersejarah dan religi
Taman Lampion Mahakam,"Mahakam Lampion Garden merupakan salah satu objek wisata di Samarinda yang menampilkan puluhan lampu hias sebagai daya tarik utamanya. Tak hanya itu saja, terdapat pula beberapa wahana seru yang bahkan jarang ditemukan di berbagai taman hiburan pada umumnya. MLG sangat cocok digunakan sebagai pilihan destinasi wisata keluarga terbaik. Pesona keindahan dari cahaya lampion akan terasa ketika hari gelap. Oleh sebab itu Anda tak perlu heran jika destinasi modern di Samarinda ini akan ramai setelah matahari terbenam. Terdapat puluhan hingga ratusan orang yang biasanya memadati area Jalan Slamet Riyadi. Bahkan akan semakin padat di akhir pekan atau masa liburan.",wisata kota
Pantai Encing,"Wisata Pantai Encing merupakan destinasi wisata yang sering dikunjungi oleh masyarakat di perbatasan Indonesia-Malaysia. Pantai ini menawarkan sejuta pesona, seperti keindahan pasir putih yang terhampar luas, pemandangan alam yang menakjubkan. Selain itu, Pantai Encing memiliki ombak yang cukup tenang dan cocok untuk pilihan wisata bersama keluarga. Pantai yang satu ini tak pernah sepi pengunjung, terlebih jika pada hari-hari libur ataupun di akhir pekan.",wisata air
Batu tumpuk Tanjung Palas Utara,"Batu tumpuk Tanjung Palas Utara adalah salah satu objek wisata yang banyak dikunjungi karena memiliki keunikan tersendiri. Keunikan batu tumpuk ini karena batunya yang besar diatas dan kecil dibawah, semuanya ini terbentuk dengan alami. Batu tumpuk ini terletak di Desa Panca Agung Kecamatan Tanjung Palas Utara Kabupaten Bulungan. Hanya dengan ± 1 jam untuk menuju lokasi batu tumpuk ini dari Tanjung Selor dengan mneggunakan transportasi darat.",situs bersejarah dan religi
Pantai Cemara Mangkupadi,"Pantai Cemara Mangkupadi disebut juga dengan nama Pantai Mangkupadi. Selain berada di Desa Mangkupadi, Kecamatan Tanjung Palas Timur, Pantai Cemara ini juga berdekatan dengan Pantai Kelapa. Memiliki pasir pantai yang cukup putih dan bersih, air lautnya yang biru serta ombaknya yang tidak begitu besar menjadi spot terbaik untuk menghabiskan hari libur. Di pantai ini cukup sering digelar event kebudayaan atau acara adat yang bisa dinikmati kearifan lokalnya.",wisata air
Gunung Putih,"Objek wisata Gunung Putih terletak di Kecamatan Tanjung Palas. Daya tarik objek wisata ini yaitu gunungnya yang terdiri dari gunung kapur yang berwarna putih (sehingga dinamakan Gunung Putih) yang indah dengan relief-relief yang alami bak pahatan seorang seniman. Selain menikmati pemandangannya yang mengagumkan, kita juga dapat menaiki puncak gunung mengikuti anak tangga yang tersedia. Setelah sampai dipuncak gunung, kita akan menikmati pemandangan alam yang eksotis serta melihat indahnya Kota Tanjung Selor dan Tanjung Palas. Pada sisi gunung ini terdapat sebuah gua yang merupakan tempat persembunyian Sultan Bulungan dari kejaran TNI. ",pegunungan dan pedesaan
Pantai Kelapa Mangkupadi,"Pantai Kelapa Mangkupadi merupakan pantai di Desa Mangkupadi. Objek wisata ini menawarkan pemandangan pantai berpasir putih dengan air laut berkilau biru. Beberapa pengunjung menilai destinasi wisata ini cukup asik untuk melepas penat dari hiruk-pikuk sehari-hari. Apalagi masa liburan seperti ini, dianggap cocok untuk kembali menyegarkan pikiran.",wisata air
Gunung Rian,"Gunung Rian yang ada di daerah Desa Safari Rian, kecamatan Sesayap ini merupakan salah satu hutan lindung yang memiliki banyak pontesi wisata di Kalimatan Utara. Disini wisatanya masih asri, begitu juga udaranya masih sejuk.",pegunungan dan pedesaan
Museum Rumah Bundar Tarakan,"Museum Rumah Bundar merupakan objek wisata bersejarah yang ada di Kota Tarakan. Menyimpan berbagai koleksi lampau yang kaya akan nilai sejarah, membuat objek wisata ini dijadikan tempat edukasi sejarah bagi setiap orang yang mengunjunginya. Para wisatawan akan disuguhkan benda koleksi masa lampau seperti senjata, peluru, pedang Samurai, baling baling pesawat tempur, sepatu para penjajah, dan helm tentara sekutu. ",situs bersejarah dan religi
Pasar Inpres Kebun Sayur,"Lokasi Pasar Inpres Kebun Sayur ada di Jalan Letjen Soeprapto, Balikpapan. Ratusan pedagang membuka lapak di sini. Mereka menawarkan berbagai jenis batu akik untuk perhiasan seperti: leontin, cincin, anting. Di sini juga ada banyak macam kalung batu aneka warna yang menggoda. Macam-macam akik ini dijual dari harga puluhan ribu hingga jutaan rupiah. ",wisata kota
Pantai Binalatung,"Pantai Binalatung adalah salah satu wisata pantai yang sudah tertata di Kota Tarakan. Wisata bahari tersebut menawarkan keindahan alam pantai yang sejuk dengan kebersihan yang dijaga ketat oleh pihak pengelolanya. Jika kebanyakan wilayah laut memiliki udara yang panas, di pantai tersebut Anda hanya akan merasakan kesegaran angin yang siap menerpa. Deburan ombak yang stabil seolah turut ikut andil dalam menunjang pesona pantai ini. Lingkungan yang bersih dan sejuk juga menjadi nilai tambah untuk destinasi bahari tersebut.",wisata air
Taman Oval Ladang,"Taman Oval Ladang merupakan salah satu tempat wisata sebagai sarana hiburan dan rekreasi bagi warga kota Tarakan. Tempat ini banyak diminati terutama oleh para anak muda di kota ini. Terlebih lagi taman ini memiliki berbagai fasilitas yang sangat memadai dan lokasinya mudah dijangkau. Selain itu, taman ini juga berfungsi sebagai salah satu ruang hijau terbuka di kota Tarakan. Disebut dengan taman oval karena taman ini berbentuk oval. Taman Oval Ladang berada di dalam kompleks perumahan yang menjadikannya terlihat rapi, asri dan tenang. Terdapat berbagai macam patung di Taman Oval Ladang, seperti patung kuda, ikan, dinosaurus dan masih banyak lagi. ",wisata kota
Taman Selimau,"Selimau Park adalah sebuah tempat wisata baru yang ada di Tanjung Selor Bulungan Kalimantan Utara, yang memiliki kolam renang anak-anak, wisata air dengan permainan bebek-bebekan besar dan kecil hingga permainan anak-anak, diantaranya mandi bola, ayunan, kereta api, pesawat dan komedi putar. Ada pula wisata mangrove yang kanan dan kirinya berdiri beberapa patung yang dibuat seperti patung gajah, buaya, badak, beruang madu dan beberapa satwa lainnya, diantaranya adalah burung.",wisata kota
Pulau Maitara,Pulau Maitara adalah sebuah pulau yang berada di Maluku Utara Indonesia. Pulau Maitara ini letaknya hanya 30 menit pake speed boat dari pulau Ternate. Pulau Maitara adalah pulau kecil di antara Tidore dan Ternate. Karena pulaunya yang kecil tetapi indah menjadikannya ikon untuk mata uang seribu rupiah.,wisata air
Pantai Sulamadaha,"Pantai ini adalah salah satu pantai yang terkenal dengan putihnya pasir dan kejernihan airnya. Pantai ini menawarkan pemandangan keindahan bawah laut yang bisa dinikmati dengan mata telanjang. Pantai yang terletak di sekitar 15 km dari Kota Ternate.Tepatnya di Desa Sulamadaha, Kecamatan Pulau Ternate ini memiliki sebuah teluk yang airnya juga jernih dan berhadapan dengan Pulau Hiri yang Indah. Pantai Sulamadaha cocok sekali untuk kamu yang hobi menyelam dan snorkeling.",wisata air
Gunung Gamalama,"Dengan sekian banyak mitos yang dimilikinya, tidak membuat Gunung Gamalama sepi pengunjung. Gunung Gamalama dapat ditempuh dengan berjalan kaki kurang lebih selama 30 menit dari pusat kota Ternate. Banyak keindahan alam yang bisa didapat saat kita berkunjung kesana. Dari puncak gunung, kamu bisa melihat hamparan perkebunan cengkeh dan pala di sepanjang lereng, hutan yang hijau dan luas serta keindahan pulau Ternate, pulau Halmahera, pulau Tidore dan hamparan biru laut.",pegunungan dan pedesaan
Benteng Tolukko,"Selain keindahan pantainya, Maluku Utara pun memiliki objek wisata sejarah, contohnya Benteng Tolukko yang terletak di Kelurahan Sangadji, Ternate Utara yang dibangun sekitar tahun 1540 oleh seorang panglima Portugis kemudian mengalami beberapa kali perbaikan hingga kini. Benteng Tolukko tegak diatas pondasi batuan beku dengan membentuk ruang bawah tanah, lorong dan halaman serta bangunan utama berbentuk persegi. Benteng ini akan membawa kita pada kenangan zaman penjajahan. Ini cocok sekali untuk kamu yang menggemari wisata sejarah.",situs bersejarah dan religi
Pantai Jikomalamo,"Anda punya hobi snorkeling? Pantai Jikomalamo mungkin bisa menjadi destinasi yang tepat karena belum diketahui oleh banyak orang, pantai ini merupakan salah satu spot snorkeling di ternate yang terbaik. Disini anda dapat melihat indahnya alam bawah laut, tapi anda jangan sampai merusak terumbu karang yang menjadi tempat tinggal iklan-iklan di ternate. Pantai Jikomalamo merupakan pantai yang sangat indah berpasir putih bersih dengan bentangan pasir putih kurang lebih sekitar 100 meter. Terletak di sebuah teluk tersembunyi yang berhadapan langsung dengan Pulau Hiri di seberangnya, membuat Pantai Jikomalamo ini terlihat sangat indah. Menurut cerita penduduk setempat nama Jikomalamo ini diambil dari nama kampung yang ada di Pulau Hiri.",wisata air
Taman Nukila,"Taman Nukila diambil dari nama seorang pejuang perempuan Ternate yang pada saat itu melawan penjajahan Portugis. Beliau adalah pejuang wanita pertama di Indonesia, hal tersebut tertulis lengkap pada prasasti yang ada di Taman Nukila. Taman ini di resmikan oleh Walikota Ternate yakni DR. H Burhan  Abdurrahman SH pada tanggal 30 November 2014. Lokasi Taman Nukila yang berada di pinggir pantai yang memiliki pohon-pohon yang rindang, sangat cocok untuk mengisi hari libur kamu. Di taman ini juga ada fasilitas tempat bermain anak-anak dan dilengkapi dengan pedestrian yang cukup lebar. Karena adanya Taman Nukila ini membuat Kota Ternate semakin asri dan sejuk.",wisata kota
Pulau Halmahera,"Pula Halmahera juga tidak kalah indah dengan pulau-pulau lain di Maluku Utara. Di ujung utara pulau ini terdapat bebatuan karang yang sangat indah dan juga terumbu karang beserta beragam biota dalam kondisi baik dapat ditemui diperairan ini. Disini pula kamu bisa menemukan pasir putih dengan dua tipe yang berbeda, kasar dan halus. Paronama alam sekitar dan airnya yang bening sangat cocok untuk bersantai, berenang maupun snokerling bersama keluarga tercinta. Selain berenang atau bersantai di tepi pantainya, berjalan menyusuri pulau juga menjadi kegiatan yang tak kalah serunya yang kerap jadi incara wisatawan. Taman Laut Tobotobo adalah tempat yang mempunyai taman laut yang sangat sempurna indahnya sehingga sangat amat disarankan untuk melakukan kegiatan snokerling maupun diving.",wisata air
Teluk Jailolo,"Teluk Jailolo yang bergelar Mutiara di Maluku Utara tersebut berada di antara Pulau Ternate dan Pulau Halmahera atau tepatnya di Halmahera Barat. Suatu tempat diving yang patut untuk anda kunjungi, kamu akan menemukan bermacam hewan laut seperti hiu, kura-kura, gurita ikan hias, kerapi, dan masih banyak llainnya yang belum sempat kami sebutkan. Di Teluk Jailolo ini, kamu juga bisa melihat beragam jenis terumbu karang dan sejenis kerang-kerangan, ternyata sebagian dari mereka terdapat kerang langka. Selain keindahan bawah laut, keindahan daratannya tersaji pemandangan Gunung Gamalama yang terlihat cantik. Oh iya, setiap bulan Mei atau Juni, pemerintah Kabupaten Halmahera Barat selalu mengadakan Festival Jailolo yang di hadiri 100 penyelam lokal maupun luar negeri.",wisata air
Danau Ngade,"Danau yang begitu mempesona eloknya ini terletak di Desa Ngade, Kelurahan Fitu, Kecamatan Kota Ternate Selatan, Maluku Utara. Danau Laguna juga sering di sebut Danau Ngade, yang disebabkan berada di Desa Ngade dan berjarak -+ 20 km dari Kota Ternate. Danau tersebut menawarkan keindahan alam yang masih alami dan mempesona bagi mereka yang berkunjung. Kamu akan dimanjakan dengan bentangan paronama danau yang disekitarnya dikelilingi bukit nan hujau, laut biru serta gunung yang eksotis. Selain untuk wisata, Danau Laguna juga dimanfaatkan warga untuk budidaya ikan berjenis air tawar dan sebagai pengairan perkebunan. Dan tak ketinggalan sebagai obyek wisata pemancingan maupun berenang bagi kamu yang menginginkannya.",wisata air
Danau Tolire,"Danau ini berada di kaki Gunung Gamalama, selain memunyai bentuk unik juga mempunyai legenda yang sangat menarik. Danau Tolire terdiri dari dua buah danau yang masyarakat biasa menyebutnya sebagai Danau Tolire Besar dan Danau Tolire Kecil, dengan jarak keduanya hanya 200 meter saja. Danau Tolire Besar sendiri menyerupai Loyang raksasa. Danau Tolire Besar merupakan tempat tinggal bagi bermacam ikan, uniknya warga setempat tak ada yang sudi menangkap ikan maupun mandi. Mereka meyakini bahwa Danau Tolire Besar dihuni oleh banyak buaya siluman. Uniknya lagi jika melempar sesuatu ke danau, bagaimanapun kuatnya lemparan tidak akan pernah bisa menyentuh air danau.",wisata air
Benteng Oranje,"Benteng Oranye tentu bewarna oranje, tapi bukan tanpa alasan kenapa benteng ini berwarna Oranye. Ini karena benteng ini dibangun oleh kolonial Belanda tahun 1607. Kala itu, benteng oranje dijadikan markas besar VOC di Maluku. Dulunya benteng oranye ini juga digunakan untuk markas tentara dan polisi Indonesia. Namun dibalik sejarahnya, benteng Oranye sangat indah saat kamu melihatnya dari udara. Benteng ini sangat cocok menjadi tempat destinasi kamu yang menyukai sejarah dan museum.",situs bersejarah dan religi
Masjid Sultan Ternate,"Bagi kamu yang muslim, Masjid ini harus masuk daftar destinasi yang akan kamu kunjungi saat di Maluku Utara. Masjid Sultan Ternate hanya berjarak 100 meter dari kedaton Sultan Ternate. Masjid yang berdiri sejak tahun 1606 ini, dibangun dengan susunan batu yang rumit yang direkatkan menggunakan campuran kulit kayu pohon kalumpang. Bangunan masjid ini khas karena terdiri dari empat sudut persegi yang meniru bentuk tumpang limas yang tiap tumpangnya dipenuhi dengan terali berukir sebanyak 360 buah sesuai dengan jumlah hari dalam satu tahun.",situs bersejarah dan religi
Tanjung Dehegila,"Tanjung Dehegila memiliki potensi ekosistem berupa terumbu karang, lamun dan mangrove. Beberapa satwa kharismatik juga ditemukan pada ekosistem tersebut, seperti pari manta, lumba-lumba dan penyu. Masyarakat sekitar kawasan konservasi juga memiliki tradisi timba laor, yaitu memanen cacing laut secara massal yang seringkali mengundang minat masyarakat dan wisatawan. Potensi itulah yang melandasi kawasan konservasi Pulau Rao – Tanjung Dehegila sebagai Taman Wisata Perairan",wisata air
Villa Ake Tege Tege,Villa dengan nuansa indah di tengah desa marikurubu. terdapat kafe dan berbagai fasilitas lain. pemandangan luar biasa langsung tertuju pada gelap nya malam di ternate tengah,wisata kota
Benteng Kota Janji,"Benteng Kota Janji adalah sebuah benteng Portugis yang terletak di Jalan Ngade, Dusun Laguna, Desa Fitu, Kecamatan Ternate Selatan, Ternate, Provinsi Maluku Utara, letaknya berada di pinggir jalan utama menuju Kota Ternate dari arah selatan.",situs bersejarah dan religi
